532 - updateIssues.php,SELECT * FROM CIL34 T1 LEFT JOIN CIL36 T2 ON T1.ID34 = T2.QID36 AND T2.TID36 =  WHERE T1.CLAS34 =  AND T1.TYPE34 = 
823 - updateIssues.php,UPDATE CIL01 SET DESC01 = '', RQID01=, CLAS01=, TYPE01=, PRTY01=, RSID01=0,STAT01=, CDAT01=0, CTIM01='', UDAT01=20210218, UTIM01='150043', EDAT01=20210218, ESTI01='150043', ESLV01=0, UPID01=14173, OCCR01=0, EMDA01=0 WHERE ID01=
913 - updateIssues.php,INSERT INTO CIL02 VALUES( 7152791, , '', 20210218, '15:00:43', 14173, '')
532 - updateIssues.php,SELECT * FROM CIL34 T1 LEFT JOIN CIL36 T2 ON T1.ID34 = T2.QID36 AND T2.TID36 =  WHERE T1.CLAS34 =  AND T1.TYPE34 = 
823 - updateIssues.php,UPDATE CIL01 SET DESC01 = '', RQID01=, CLAS01=, TYPE01=, PRTY01=, RSID01=0,STAT01=, CDAT01=0, CTIM01='', UDAT01=20210218, UTIM01='153034', EDAT01=20210218, ESTI01='153034', ESLV01=0, UPID01=15593, OCCR01=0, EMDA01=0 WHERE ID01=
913 - updateIssues.php,INSERT INTO CIL02 VALUES( 7152883, , '', 20210218, '15:30:34', 15593, '')
308 - maintenanceUserAdd.php,
286 - maintenanceUserAdd.php,
308 - maintenanceUserAdd.php,
308 - maintenanceUserAdd.php,
308 - maintenanceUserAdd.php,
308 - maintenanceUserAdd.php,
532 - updateIssues.php,SELECT * FROM CIL34 T1 LEFT JOIN CIL36 T2 ON T1.ID34 = T2.QID36 AND T2.TID36 =  WHERE T1.CLAS34 =  AND T1.TYPE34 = 
823 - updateIssues.php,UPDATE CIL01 SET DESC01 = '', RQID01=, CLAS01=, TYPE01=, PRTY01=, RSID01=0,STAT01=, CDAT01=0, CTIM01='', UDAT01=20210218, UTIM01='224846', EDAT01=20210218, ESTI01='224846', ESLV01=0, UPID01=16023, OCCR01=0, EMDA01=0 WHERE ID01=
913 - updateIssues.php,INSERT INTO CIL02 VALUES( 7154284, , '', 20210218, '22:48:46', 16023, '')
532 - updateIssues.php,SELECT * FROM CIL34 T1 LEFT JOIN CIL36 T2 ON T1.ID34 = T2.QID36 AND T2.TID36 =  WHERE T1.CLAS34 =  AND T1.TYPE34 = 
823 - updateIssues.php,UPDATE CIL01 SET DESC01 = '', RQID01=, CLAS01=, TYPE01=, PRTY01=, RSID01=0,STAT01=, CDAT01=0, CTIM01='', UDAT01=20210218, UTIM01='233755', EDAT01=20210218, ESTI01='233755', ESLV01=0, UPID01=16023, OCCR01=0, EMDA01=0 WHERE ID01=
913 - updateIssues.php,INSERT INTO CIL02 VALUES( 7154321, , '', 20210218, '23:37:55', 16023, '')
683 - showTicketDetails.php,SELECT ID01, RQID01, DESC01, LDES01, DATE01, STAT01, PRTY01, RSID01, TYPE01, CLAS01, BUYR01, OWNR01, POFF01,UDAT01,UTIM01,  KEY101, KEY201, KEY301, KEY401, CHCE01, IMPT01, EMDA01, EDAT01, ESTI01, PRNT01, CHLF01 FROM CIL01L00 WHERE ID01 = bg00323810
532 - updateIssues.php,SELECT * FROM CIL34 T1 LEFT JOIN CIL36 T2 ON T1.ID34 = T2.QID36 AND T2.TID36 =  WHERE T1.CLAS34 =  AND T1.TYPE34 = 
823 - updateIssues.php,UPDATE CIL01 SET DESC01 = '', RQID01=, CLAS01=, TYPE01=, PRTY01=, RSID01=0,STAT01=, CDAT01=0, CTIM01='', UDAT01=20210219, UTIM01='015443', EDAT01=20210219, ESTI01='015443', ESLV01=0, UPID01=12051, OCCR01=0, EMDA01=0 WHERE ID01=
913 - updateIssues.php,INSERT INTO CIL02 VALUES( 7154606, , '', 20210219, '01:54:44', 12051, '')
532 - updateIssues.php,SELECT * FROM CIL34 T1 LEFT JOIN CIL36 T2 ON T1.ID34 = T2.QID36 AND T2.TID36 =  WHERE T1.CLAS34 =  AND T1.TYPE34 = 
823 - updateIssues.php,UPDATE CIL01 SET DESC01 = '', RQID01=, CLAS01=, TYPE01=, PRTY01=, RSID01=0,STAT01=, CDAT01=0, CTIM01='', UDAT01=20210219, UTIM01='054143', EDAT01=20210219, ESTI01='054143', ESLV01=0, UPID01=14143, OCCR01=0, EMDA01=0 WHERE ID01=
913 - updateIssues.php,INSERT INTO CIL02 VALUES( 7154808, , '', 20210219, '05:41:43', 14143, '')
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =1 AND USER08= 
286 - maintenanceUserAdd.php,SELECT ID08, TEXT08 FROM HLP08 WHERE ATTR08=2 AND USER08=
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =3 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =4 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =5 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =6 AND USER08= 
555 - updateIssues.php,UPDATE CIL36 SET AID36 =  WHERE ID36 = 411193
532 - updateIssues.php,SELECT * FROM CIL34 T1 LEFT JOIN CIL36 T2 ON T1.ID34 = T2.QID36 AND T2.TID36 =  WHERE T1.CLAS34 =  AND T1.TYPE34 = 
823 - updateIssues.php,UPDATE CIL01 SET DESC01 = '', RQID01=, CLAS01=, TYPE01=, PRTY01=, RSID01=0,STAT01=, CDAT01=0, CTIM01='', UDAT01=20210219, UTIM01='071907', EDAT01=20210219, ESTI01='071907', ESLV01=0, UPID01=13766, OCCR01=0, EMDA01=0 WHERE ID01=
913 - updateIssues.php,INSERT INTO CIL02 VALUES( 7155000, , '', 20210219, '07:19:07', 13766, '')
683 - showTicketDetails.php,SELECT ID01, RQID01, DESC01, LDES01, DATE01, STAT01, PRTY01, RSID01, TYPE01, CLAS01, BUYR01, OWNR01, POFF01,UDAT01,UTIM01,  KEY101, KEY201, KEY301, KEY401, CHCE01, IMPT01, EMDA01, EDAT01, ESTI01, PRNT01, CHLF01 FROM CIL01L00 WHERE ID01 = 801678/
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =1 AND USER08= 
286 - maintenanceUserAdd.php,SELECT ID08, TEXT08 FROM HLP08 WHERE ATTR08=2 AND USER08=
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =3 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =4 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =5 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =6 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =1 AND USER08= 
286 - maintenanceUserAdd.php,SELECT ID08, TEXT08 FROM HLP08 WHERE ATTR08=2 AND USER08=
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =3 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =4 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =5 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =6 AND USER08= 
532 - updateIssues.php,SELECT * FROM CIL34 T1 LEFT JOIN CIL36 T2 ON T1.ID34 = T2.QID36 AND T2.TID36 =  WHERE T1.CLAS34 =  AND T1.TYPE34 = 
823 - updateIssues.php,UPDATE CIL01 SET DESC01 = '', RQID01=, CLAS01=, TYPE01=, PRTY01=, RSID01=0,STAT01=, CDAT01=0, CTIM01='', UDAT01=20210219, UTIM01='115118', EDAT01=20210219, ESTI01='115118', ESLV01=0, UPID01=15739, OCCR01=0, EMDA01=0 WHERE ID01=
913 - updateIssues.php,INSERT INTO CIL02 VALUES( 7156842, , '', 20210219, '11:51:18', 15739, '')
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =1 AND USER08= 
286 - maintenanceUserAdd.php,SELECT ID08, TEXT08 FROM HLP08 WHERE ATTR08=2 AND USER08=
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =3 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =4 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =5 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =6 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =1 AND USER08= 
286 - maintenanceUserAdd.php,SELECT ID08, TEXT08 FROM HLP08 WHERE ATTR08=2 AND USER08=
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =3 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =4 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =5 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =6 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =1 AND USER08= 
286 - maintenanceUserAdd.php,SELECT ID08, TEXT08 FROM HLP08 WHERE ATTR08=2 AND USER08=
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =3 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =4 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =5 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =6 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =1 AND USER08= 
286 - maintenanceUserAdd.php,SELECT ID08, TEXT08 FROM HLP08 WHERE ATTR08=2 AND USER08=
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =3 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =4 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =5 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =6 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =1 AND USER08= 
286 - maintenanceUserAdd.php,SELECT ID08, TEXT08 FROM HLP08 WHERE ATTR08=2 AND USER08=
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =3 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =4 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =5 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =6 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =1 AND USER08= 
286 - maintenanceUserAdd.php,SELECT ID08, TEXT08 FROM HLP08 WHERE ATTR08=2 AND USER08=
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =3 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =4 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =5 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =6 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =1 AND USER08= 
286 - maintenanceUserAdd.php,SELECT ID08, TEXT08 FROM HLP08 WHERE ATTR08=2 AND USER08=
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =3 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =4 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =5 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =6 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =1 AND USER08= 
286 - maintenanceUserAdd.php,SELECT ID08, TEXT08 FROM HLP08 WHERE ATTR08=2 AND USER08=
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =3 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =4 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =5 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =6 AND USER08= 
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =1 AND USER08= 
286 - maintenanceUserAdd.php,SELECT ID08, TEXT08 FROM HLP08 WHERE ATTR08=2 AND USER08=
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =3 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =4 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =5 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =6 AND USER08= 
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =1 AND USER08= 
286 - maintenanceUserAdd.php,SELECT ID08, TEXT08 FROM HLP08 WHERE ATTR08=2 AND USER08=
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =3 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =4 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =5 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =6 AND USER08= 
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
745 - maintenanceUserEdit.php,
754 - maintenanceUserEdit.php,
683 - showTicketDetails.php,SELECT ID01, RQID01, DESC01, LDES01, DATE01, STAT01, PRTY01, RSID01, TYPE01, CLAS01, BUYR01, OWNR01, POFF01,UDAT01,UTIM01,  KEY101, KEY201, KEY301, KEY401, CHCE01, IMPT01, EMDA01, EDAT01, ESTI01, PRNT01, CHLF01 FROM CIL01L00 WHERE ID01 = 802013Â 
555 - updateIssues.php,UPDATE CIL36 SET AID36 =  WHERE ID36 = 336918
683 - showTicketDetails.php,SELECT ID01, RQID01, DESC01, LDES01, DATE01, STAT01, PRTY01, RSID01, TYPE01, CLAS01, BUYR01, OWNR01, POFF01,UDAT01,UTIM01,  KEY101, KEY201, KEY301, KEY401, CHCE01, IMPT01, EMDA01, EDAT01, ESTI01, PRNT01, CHLF01 FROM CIL01L00 WHERE ID01 = SN7740
532 - updateIssues.php,SELECT * FROM CIL34 T1 LEFT JOIN CIL36 T2 ON T1.ID34 = T2.QID36 AND T2.TID36 =  WHERE T1.CLAS34 =  AND T1.TYPE34 = 
823 - updateIssues.php,UPDATE CIL01 SET DESC01 = '', RQID01=, CLAS01=, TYPE01=, PRTY01=, RSID01=0,STAT01=, CDAT01=0, CTIM01='', UDAT01=20210220, UTIM01='141120', EDAT01=20210220, ESTI01='141120', ESLV01=0, UPID01=16098, OCCR01=0, EMDA01=0 WHERE ID01=
913 - updateIssues.php,INSERT INTO CIL02 VALUES( 7159064, , '', 20210220, '14:11:20', 16098, '')
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =1 AND USER08= 
286 - maintenanceUserAdd.php,SELECT ID08, TEXT08 FROM HLP08 WHERE ATTR08=2 AND USER08=
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =3 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =4 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =5 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =6 AND USER08= 
308 - maintenanceUserAdd.php,SELECT OPID08 FROM HLP08 WHERE ATTR08 =1 AND USER08= 
286 - maintenanceUserAdd.php,SELECT ID08, TEXT08 FROM HLP08 WHERE ATTR08=2 AND USER08=
